frequency,block_index,n_blocks,n_levels,rho,sigma_hi,sigma_lo,lambda_spread,cond,amplification,growth
2,32,64,2,7.0,2.427924328448239,2.1041974720314025,1.0632448349690895,8.007523966293961,3.0037619831469806,1.0
2,33,64,2,7.0,2.1041974720314025,1.8181962627036001,1.064606357019636,8.007841360968449,3.0039206804842244,1.0
2,34,64,2,7.0,1.8181962627036001,1.566183511990981,1.0660277679531918,8.00817927313329,3.004089636566645,1.0
2,35,64,2,7.0,1.566183511990981,1.3447242716902514,1.067513106599586,8.008539510259027,3.0042697551295134,1.0
2,36,64,2,7.0,1.3447242716902514,1.1506671177876804,1.0690667831649638,8.00892408334423,3.004462041672115,1.0
2,37,64,2,7.0,1.1506671177876804,0.9811262235528272,1.0706936229047959,8.009335235052296,3.004667617526148,1.0
2,38,64,2,7.0,0.9811262235528272,0.8334642048054662,1.0723989161064327,8.009775472493793,3.0048877362468964,1.0
2,39,64,2,7.0,0.8334642048054662,0.7052757203540041,1.0741884754696531,8.01024760555191,3.0051238027759553,1.0
2,40,64,2,7.0,0.7052757203540041,0.5943718106038767,1.0760687021949347,8.01075479184892,3.0053773959244596,1.0
2,41,64,2,7.0,0.5943718106038767,0.49876495733427023,1.078046662360096,8.011300589702149,3.0056502948510744,1.0
2,42,64,2,7.0,0.49876495733427023,0.4166548476415906,1.0801301755030481,8.011889020734298,3.005944510367149,1.0
2,43,64,2,7.0,0.4166548476415906,0.34641482504805793,1.0823279177475247,8.012524644203484,3.006262322101742,1.0
2,44,64,2,7.0,0.34641482504805793,0.28657901077384834,1.0846495423343263,8.01321264562928,3.0066063228146396,1.0
2,45,64,2,7.0,0.28657901077384834,0.23583007817115964,1.0871058210826072,8.013958942946179,3.0069794714730893,1.0
2,46,64,2,7.0,0.23583007817115964,0.1929876633186138,1.0897088111455975,8.014770314261655,3.0073851571308277,1.0
2,47,64,2,7.0,0.1929876633186138,0.15699739477438232,1.0924720524958929,8.015654552394759,3.0078272761973794,1.0
2,48,64,2,7.0,0.15699739477438232,0.1269205254864428,1.09541080295282,8.016620652810001,3.0083103264050006,1.0
2,49,64,2,7.0,0.1269205254864428,0.10192414985835767,1.0985423193441408,8.01767904345737,3.008839521728685,1.0
2,50,64,2,7.0,0.10192414985835767,0.0812719889689765,1.101886195717438,8.018841867550602,3.009420933775301,1.0
2,51,64,2,7.0,0.0812719889689765,0.06431572694445675,1.1054647725691487,8.020123333694682,3.010061666847341,1.0
2,52,64,2,7.0,0.06431572694445675,0.0504868814810049,1.1093036351045862,8.02154015234242,3.0107700761712097,1.0
2,53,64,2,7.0,0.0504868814810049,0.039289191516732484,1.1134322239591286,8.023112083798981,3.0115560418994907,1.0
2,54,64,2,7.0,0.039289191516732484,0.03029150505102703,1.1178845891231488,8.024862631595333,3.0124313157976665,1.0
2,55,64,2,7.0,0.03029150505102703,0.02312115010983397,1.122700327801305,8.026819927045059,3.0134099635225295,1.0
2,56,64,2,7.0,0.02312115010983397,0.017457771855249583,1.1279257607234987,8.02901786771177,3.0145089338558853,1.0
2,57,64,2,7.0,0.017457771855249583,0.01302761883782127,1.1336154206865876,8.031497596661909,3.0157487983309545,1.0
2,58,64,2,7.0,0.01302761883782127,0.009598261389953924,1.1398339543723934,8.034309444319346,3.017154722159673,1.0
2,59,64,2,7.0,0.009598261389953924,0.006973725158819676,1.1466585776216862,8.03751550602731,3.018757753013655,1.0
2,60,64,2,7.0,0.006973725158819676,0.004990022777169731,1.15418228137696,8.041193104891967,3.0205965524459835,1.0
2,61,64,2,7.0,0.004990022777169731,0.0035110666704456605,1.1625180700013038,8.045439505429655,3.0227197527148277,1.0
2,62,64,2,7.0,0.0035110666704456605,0.0024249459985881193,1.1718046411440788,8.050378422618001,3.0251892113090006,1.0
2,63,64,2,7.0,0.0024249459985881193,0.0,4.706480368435064,13.837906735458244,5.918953367729122,1.0
4,0,32,2,7.0,80.0,67.21702527325485,1.1184201896370898,5.336425398884839,1.6682126994424196,1.0
4,0,32,3,7.0,80.0,67.21702527325485,1.1184201896370898,60.167171740137846,5.014862150786966,1.0
4,1,32,2,7.0,67.21702527325485,56.22636065990345,1.1216172386297305,5.336585102807682,1.668292551403841,1.0
4,1,32,3,7.0,67.21702527325485,56.22636065990345,1.1216172386297305,60.175816974528445,5.015630874828468,1.0
4,2,32,2,7.0,56.22636065990345,46.81349598678945,1.1249915101493315,5.336757506083741,1.6683787530418703,1.0
4,2,32,3,7.0,56.22636065990345,46.81349598678945,1.1249915101493315,60.18515086229385,5.016460847727855,1.0
4,3,32,2,7.0,46.81349598678945,38.78497188103633,1.1285581439097212,5.336943991626538,1.668471995813269,1.0
4,3,32,3,7.0,46.81349598678945,38.78497188103633,1.1285581439097212,60.19524856559144,5.017358756480199,1.0
4,4,32,2,7.0,38.78497188103633,31.966790779396188,1.1323340527200856,5.3371461358332635,1.6685730679166317,1.0
4,4,32,3,7.0,38.78497188103633,31.966790779396188,1.1323340527200856,60.20619579236037,5.018332226675185,1.0
4,5,32,2,7.0,31.966790779396188,26.202909999756614,1.1363381895958171,5.337365741999331,1.6686828709996653,1.0
