problem,is_linear,n_levels,frequency,reuse_mode,block_width,sigma_hi,sigma_lo,rms_error,nfe,nfe_overhead,max_cond,mean_amplification
single_gaussian_d1,True,5,16,denoised,0.1,2.0,1.9,1.4548423728009765e-08,16,0,7768.648000585601,7.287358282210884
single_gaussian_d1,True,5,16,denoised,0.05,2.0,1.95,1.709115147888274e-09,16,0,7770.750997887846,7.2861148827896915
single_gaussian_d1,True,5,16,denoised,0.025,2.0,1.975,2.072436549919262e-10,16,0,7771.261306993566,7.285813175440154
single_gaussian_d1,True,5,16,derivative,0.8,2.0,1.2,0.0002055015116959691,16,0,7503.41349441063,7.445251936680249
single_gaussian_d1,True,5,16,derivative,0.4,2.0,1.6,1.7823413609991734e-05,16,0,7719.069202568546,7.316700144788263
single_gaussian_d1,True,5,16,derivative,0.2,2.0,1.8,1.9031795023960504e-06,16,0,7759.70719707801,7.292645559748294
single_gaussian_d1,True,5,16,derivative,0.1,2.0,1.9,2.210084767650475e-07,16,0,7768.648000585601,7.287358282210884
single_gaussian_d1,True,5,16,derivative,0.05,2.0,1.95,2.665843013587411e-08,16,0,7770.750997887846,7.2861148827896915
single_gaussian_d1,True,5,16,derivative,0.025,2.0,1.975,3.274335267376904e-09,16,0,7771.261306993566,7.285813175440154
single_gaussian_d1,True,5,16,exact,0.8,2.0,1.2,7.50044335095249e-09,27,11,7503.41349441063,7.445251936680249
single_gaussian_d1,True,5,16,exact,0.4,2.0,1.6,3.0479381231078816e-11,27,11,7719.069202568546,7.316700144788263
single_gaussian_d1,True,5,16,exact,0.2,2.0,1.8,2.755268294157326e-13,27,11,7759.70719707801,7.292645559748294
single_gaussian_d1,True,5,16,exact,0.1,2.0,1.9,3.988104814454916e-15,27,11,7768.648000585601,7.287358282210884
single_gaussian_d1,True,5,16,exact,0.05,2.0,1.95,1.6885190210083925e-15,27,11,7770.750997887846,7.2861148827896915
single_gaussian_d1,True,5,16,exact,0.025,2.0,1.975,1.4637688896334131e-15,27,11,7771.261306993566,7.285813175440154
bimodal_sep4_d1,False,2,2,denoised,0.8,2.0,1.2,0.014476659556133122,2,0,8.131182235954578,3.065591117977289
bimodal_sep4_d1,False,2,2,denoised,0.4,2.0,1.6,0.0011475296109134975,2,0,8.024922359499621,3.0124611797498106
